"Datum","Warengruppe","Umsatz","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","KielerWoche"
2015-06-26,5,304.239937730854,7,19.25,5,61,1
2015-06-27,5,428.433111120672,7,19.375,16,61,1
2015-06-28,5,309.491842337963,2,19.875,10,NA,1
2016-06-18,5,297.196176882937,6,18,12,21,1
2016-06-19,5,258.683021783885,7,16,14,NA,1
2016-06-20,5,261.929083791593,4,20.875,10,61,1
2016-06-21,5,250.953444723129,4,19.875,9,NA,1
2016-06-22,5,245.204941108968,5,22.125,9,61,1
2016-06-23,5,231.264672708937,5,27.875,8,NA,1
2016-06-24,5,241.758175059788,5,24.125,9,NA,1
2016-06-25,5,402.98066537422,7,18.25,14,95,1
2016-06-26,5,265.456146687391,5,19.25,11,0,1
2017-06-17,5,352.506179682214,0,20.125,15,0,1
2017-06-18,5,216.356703017971,2,24.25,9,NA,1
2017-06-19,5,266.040845002576,1,25.375,7,0,1
2017-06-20,5,239.596188002166,0,20.75,12,0,1
2017-06-21,5,232.925986116455,3,18.75,10,NA,1
2017-06-22,5,231.444516999084,3,20.25,10,95,1
2017-06-23,5,335.567446461642,7,17.25,14,61,1
2017-06-24,5,448.004437068748,6,17.875,19,61,1
2017-06-25,5,305.520160355371,7,17.25,16,20,1
2018-06-16,5,209.362082944004,5,21.325,7,95,1
2018-06-17,5,351.208968634828,5,18.275,12,61,1
2018-06-18,5,368.908774188599,7,17.6375,9,61,1
2018-06-19,5,271.817641139495,3,19.2375,16,21,1
2018-06-20,5,329.991266466933,3,23.65,13,0,1
2018-06-21,5,301.074413373322,7,11.5625,15,65,1
2018-06-22,5,349.50958339019,5,15.575,20,61,1
2018-06-23,5,662.369320660577,7,14.3,18,61,1
2018-06-24,5,275.941582346904,6,16.2375,10,21,1
