"Warengruppe_1","Warengruppe_2","Warengruppe_3","Warengruppe_4","Warengruppe_5","Warengruppe_6","Umsatz","KielerWoche","Bewoelkung_0","Bewoelkung_1","Bewoelkung_2","Bewoelkung_3","Bewoelkung_4","Bewoelkung_5","Bewoelkung_6","Bewoelkung_7","Bewoelkung_8","Temperatur","Windgeschwindigkeit","Day","Month_01","Month_02","Month_03","Month_04","Month_05","Month_06","Month_07","Month_08","Month_09","Month_10","Month_11","Month_12","DayOfWeek_1","DayOfWeek_2","DayOfWeek_3","DayOfWeek_4","DayOfWeek_5","DayOfWeek_6","DayOfWeek_7"
0,0,0,1,0,0,68.6330279122302,0,1,0,0,0,0,0,0,0,0,21.375,12,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,315.911756962233,0,1,0,0,0,0,0,0,0,0,21.375,12,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,569.109374584873,0,1,0,0,0,0,0,0,0,0,21.375,12,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,138.549392636714,0,1,0,0,0,0,0,0,0,0,21.375,12,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,101.447511461298,0,1,0,0,0,0,0,0,0,0,20.2875,7,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,600.267914678783,0,1,0,0,0,0,0,0,0,0,20.2875,7,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,290.199097765019,0,1,0,0,0,0,0,0,0,0,20.2875,7,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,362.802489634211,0,1,0,0,0,0,0,0,0,0,20.2875,7,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,141.233309883732,0,0,1,0,0,0,0,0,0,0,20.125,12,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,74.2744737887665,0,0,1,0,0,0,0,0,0,0,20.125,12,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,747.140776382576,0,0,1,0,0,0,0,0,0,0,20.125,12,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,340.046632736531,0,0,1,0,0,0,0,0,0,0,20.125,12,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,359.166188843392,0,0,1,0,0,0,0,0,0,0,20.125,12,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,320.626816189556,0,0,0,0,0,0,1,0,0,0,17.6875,15,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,461.082124524619,0,0,0,0,0,0,1,0,0,0,17.6875,15,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,112.524365708762,0,0,0,0,0,0,1,0,0,0,17.6875,15,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,777.048841669282,0,0,0,0,0,0,1,0,0,0,17.6875,15,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,115.271617188867,0,0,0,0,0,0,1,0,0,0,17.6875,15,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,99.4935305857439,0,0,0,0,0,0,0,1,0,0,18.7375,12,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,161.264677322182,0,0,0,0,0,0,0,1,0,0,18.7375,12,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,596.995099998235,0,0,0,0,0,0,0,1,0,0,18.7375,12,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,243.526401440661,0,0,0,0,0,0,0,1,0,0,18.7375,12,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,380.68369651152,0,0,0,0,0,0,0,1,0,0,18.7375,12,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,116.821358174215,0,0,1,0,0,0,0,0,0,0,21.1875,10,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,320.43533597922,0,0,1,0,0,0,0,0,0,0,21.1875,10,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,558.797138274201,0,0,1,0,0,0,0,0,0,0,21.1875,10,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,287.415464972525,0,0,1,0,0,0,0,0,0,0,21.1875,10,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,91.7796976081033,0,0,1,0,0,0,0,0,0,0,21.1875,10,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,301.777437970497,0,0,0,0,0,0,1,0,0,0,22.5125,8,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,150.572919592838,0,0,0,0,0,0,1,0,0,0,22.5125,8,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,628.325718978073,0,0,0,0,0,0,1,0,0,0,22.5125,8,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,396.99424714406,0,0,0,0,0,0,1,0,0,0,22.5125,8,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,101.90072129658,0,0,1,0,0,0,0,0,0,0,23.25,11,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,250.426586853024,0,0,1,0,0,0,0,0,0,0,23.25,11,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,300.398790118057,0,0,1,0,0,0,0,0,0,0,23.25,11,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,647.822253705942,0,0,1,0,0,0,0,0,0,0,23.25,11,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,89.2058404577425,0,0,1,0,0,0,0,0,0,0,23.25,11,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,161.63511518654,0,0,0,0,1,0,0,0,0,0,22.475,16,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,369.400389277533,0,0,0,0,1,0,0,0,0,0,22.475,16,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,62.0636098816993,0,0,0,0,1,0,0,0,0,0,22.475,16,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,646.788959790823,0,0,0,0,1,0,0,0,0,0,22.475,16,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,287.18828629416,0,0,0,0,1,0,0,0,0,0,22.475,16,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,394.765674710477,0,1,0,0,0,0,0,0,0,0,23.1875,8,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,134.328076682024,0,1,0,0,0,0,0,0,0,0,23.1875,8,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,843.051280035386,0,1,0,0,0,0,0,0,0,0,23.1875,8,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,69.9369965472912,0,1,0,0,0,0,0,0,0,0,23.1875,8,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,346.154004294146,0,1,0,0,0,0,0,0,0,0,23.1875,8,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,815.942264195776,0,1,0,0,0,0,0,0,0,0,26.375,8,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,66.2887578161955,0,1,0,0,0,0,0,0,0,0,26.375,8,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,287.443788531561,0,1,0,0,0,0,0,0,0,0,26.375,8,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,346.658236387984,0,1,0,0,0,0,0,0,0,0,26.375,8,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,82.6826868784511,0,1,0,0,0,0,0,0,0,0,26.375,8,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,99.3353908053911,0,1,0,0,0,0,0,0,0,0,26.1,9,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,356.484067206325,0,1,0,0,0,0,0,0,0,0,26.1,9,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,131.223948997842,0,1,0,0,0,0,0,0,0,0,26.1,9,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,647.682748973215,0,1,0,0,0,0,0,0,0,0,26.1,9,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,297.712614415266,0,1,0,0,0,0,0,0,0,0,26.1,9,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,110.315246796665,0,1,0,0,0,0,0,0,0,0,24.95,12,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,316.29681714496,0,1,0,0,0,0,0,0,0,0,24.95,12,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,691.043662205889,0,1,0,0,0,0,0,0,0,0,24.95,12,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,323.301431663341,0,1,0,0,0,0,0,0,0,0,24.95,12,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,70.5290024618065,0,1,0,0,0,0,0,0,0,0,24.95,12,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,141.891908195545,0,0,0,0,1,0,0,0,0,0,24.075,11,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,698.340862077002,0,0,0,0,1,0,0,0,0,0,24.075,11,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,327.339400651794,0,0,0,0,1,0,0,0,0,0,24.075,11,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,328.023102507764,0,0,0,0,1,0,0,0,0,0,24.075,11,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,83.5816326885927,0,0,0,0,1,0,0,0,0,0,24.075,11,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,65.8902979709521,0,0,0,1,0,0,0,0,0,0,23.0875,9,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,681.250768331783,0,0,0,1,0,0,0,0,0,0,23.0875,9,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,167.701216640907,0,0,0,1,0,0,0,0,0,0,23.0875,9,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,280.809721012322,0,0,0,1,0,0,0,0,0,0,23.0875,9,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,303.192537586556,0,0,0,1,0,0,0,0,0,0,23.0875,9,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,147.272084366206,0,0,0,0,1,0,0,0,0,0,27.2625,6,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,352.293883343641,0,0,0,0,1,0,0,0,0,0,27.2625,6,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,331.522091778847,0,0,0,0,1,0,0,0,0,0,27.2625,6,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,718.016648132155,0,0,0,0,1,0,0,0,0,0,27.2625,6,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,53.1984562311259,0,0,0,0,1,0,0,0,0,0,27.2625,6,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,161.403357795112,0,0,1,0,0,0,0,0,0,0,26.1625,10,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,358.892714466409,0,0,1,0,0,0,0,0,0,0,26.1625,10,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,855.619095347599,0,0,1,0,0,0,0,0,0,0,26.1625,10,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,382.965879977945,0,0,1,0,0,0,0,0,0,0,26.1625,10,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,871.802546455837,0,0,0,0,0,1,0,0,0,0,24.8875,13,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,437.824795495097,0,0,0,0,0,1,0,0,0,0,24.8875,13,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,86.0791432446654,0,0,0,0,0,1,0,0,0,0,24.8875,13,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,360.096105223697,0,0,0,0,0,1,0,0,0,0,24.8875,13,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,368.951029057165,0,0,1,0,0,0,0,0,0,0,22.7875,10,29,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,183.564164400591,0,0,1,0,0,0,0,0,0,0,22.7875,10,29,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,672.50214523923,0,0,1,0,0,0,0,0,0,0,22.7875,10,29,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,356.033434735079,0,0,1,0,0,0,0,0,0,0,22.7875,10,29,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,354.531775116541,0,0,0,0,0,0,1,0,0,0,21.075,13,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,132.111640117897,0,0,0,0,0,0,1,0,0,0,21.075,13,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,690.117757120039,0,0,0,0,0,0,1,0,0,0,21.075,13,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,424.086156965952,0,0,0,0,0,0,1,0,0,0,21.075,13,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,321.075920611583,0,0,0,0,0,0,1,0,0,0,20.275,16,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,426.985804024935,0,0,0,0,0,0,1,0,0,0,20.275,16,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,144.745431773143,0,0,0,0,0,0,1,0,0,0,20.275,16,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,667.842224335937,0,0,0,0,0,0,1,0,0,0,20.275,16,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,157.854023011106,0,0,0,0,0,0,0,1,0,0,23.4,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,322.294307178179,0,0,0,0,0,0,0,1,0,0,23.4,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,667.213719343287,0,0,0,0,0,0,0,1,0,0,23.4,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,304.830310037868,0,0,0,0,0,0,0,1,0,0,23.4,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,60.5614573229725,0,0,0,0,0,0,0,1,0,0,23.4,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,282.371517214865,0,1,0,0,0,0,0,0,0,0,31.4375,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,117.359342094889,0,1,0,0,0,0,0,0,0,0,31.4375,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,689.695100983376,0,1,0,0,0,0,0,0,0,0,31.4375,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
